gps_seconds[s],file_name,latitude[deg],longitude[deg],altitude_ellipsoidal[m],roll[deg],pitch[deg],heading[deg],projectedX[m],projectedY[m],projectedZ[m]
1315208378.654,pano_000000_000125,51.6323681,0.2977788,133.089,1.78733,-2.22429,-120.42112,559122.405,195117.281,87.799
1315208378.779,pano_000000_000126,51.6323806,0.2978175,133.059,1.97863,-2.23598,-120.43837,559125.034,195118.751,87.769
1315208378.904,pano_000000_000127,51.6323931,0.2978561,133.037,2.18183,-2.00038,-120.43554,559127.666,195120.226,87.747
1315208379.029,pano_000000_000128,51.6324056,0.2978948,133.008,2.24567,-2.05909,-120.44525,559130.297,195121.697,87.717
1315208379.154,pano_000000_000129,51.632418,0.2979335,132.974,2.14827,-1.98362,-120.45708,559132.934,195123.164,87.683
1315208379.279,pano_000000_000130,51.6324304,0.2979722,132.931,2.04535,-1.96384,-120.44354,559135.569,195124.63,87.64
1315208379.404,pano_000000_000131,51.6324428,0.298011,132.886,1.95585,-1.82305,-120.41351,559138.207,195126.096,87.596
1315208379.529,pano_000000_000132,51.6324552,0.2980497,132.839,1.87838,-1.84086,-120.39155,559140.843,195127.56,87.549
1315208379.654,pano_000000_000133,51.6324677,0.2980884,132.797,1.88241,-1.80529,-120.3754,559143.48,195129.026,87.506
1315208379.779,pano_000000_000134,51.6324801,0.2981271,132.753,1.90458,-1.93144,-120.34333,559146.115,195130.492,87.463
1315208379.904,pano_000000_000135,51.6324925,0.2981659,132.711,1.85676,-1.88901,-120.29453,559148.754,195131.956,87.42
1315208380.029,pano_000000_000136,51.6325049,0.2982047,132.666,1.82357,-1.80002,-120.25626,559151.396,195133.419,87.376
1315208380.154,pano_000000_000137,51.6325173,0.2982435,132.62,1.75238,-1.82351,-120.2163,559154.038,195134.878,87.33
1315208380.279,pano_000000_000138,51.6325296,0.2982823,132.576,1.70005,-1.84365,-120.19711,559156.681,195136.337,87.286
1315208380.404,pano_000000_000139,51.632542,0.2983211,132.532,1.70372,-1.9094,-120.19853,559159.325,195137.795,87.242
1315208380.529,pano_000000_000140,51.6325544,0.29836,132.49,1.76279,-1.84309,-120.18868,559161.969,195139.256,87.2
1315208380.654,pano_000000_000141,51.6325667,0.2983989,132.444,1.80601,-1.62816,-120.17514,559164.617,195140.719,87.153
1315208380.779,pano_000000_000142,51.6325791,0.2984377,132.387,1.89825,-1.70229,-120.1775,559167.26,195142.181,87.097
1315208380.904,pano_000000_000143,51.6325915,0.2984766,132.332,1.9476,-1.68843,-120.19092,559169.907,195143.642,87.042
1315208381.029,pano_000000_000144,51.6326039,0.2985155,132.278,1.85732,-1.63447,-120.1937,559172.556,195145.101,86.988
1315208381.154,pano_000000_000145,51.6326162,0.2985544,132.223,1.73426,-1.50468,-120.20376,559175.208,195146.559,86.933
1315208381.279,pano_000000_000146,51.6326286,0.2985933,132.163,1.68641,-1.54715,-120.20319,559177.859,195148.018,86.873
1315208381.404,pano_000000_000147,51.632641,0.2986322,132.099,1.66137,-1.61288,-120.20154,559180.508,195149.479,86.809
1315208381.529,pano_000000_000148,51.6326533,0.2986712,132.039,1.62977,-1.56553,-120.19859,559183.158,195150.941,86.749
1315208381.654,pano_000000_000149,51.6326657,0.2987101,131.983,1.59852,-1.43365,-120.20881,559185.811,195152.404,86.693
1315208381.779,pano_000000_000150,51.6326781,0.2987491,131.921,1.5599,-1.63869,-120.21235,559188.461,195153.864,86.631
1315208381.904,pano_000000_000151,51.6326905,0.298788,131.863,1.56958,-1.67051,-120.22283,559191.111,195155.327,86.573
1315208382.03,pano_000000_000152,51.632703,0.2988273,131.808,1.55591,-1.32779,-120.21937,559193.789,195156.807,86.518
1315208382.154,pano_000000_000153,51.6327153,0.2988659,131.74,1.53283,-1.3804,-120.22044,559196.419,195158.259,86.45
1315208382.279,pano_000000_000154,51.6327277,0.2989048,131.667,1.561,-1.64855,-120.23744,559199.067,195159.722,86.377
1315208382.404,pano_000000_000155,51.6327401,0.2989438,131.607,1.53432,-1.45176,-120.24173,559201.72,195161.188,86.317
1315208382.529,pano_000000_000156,51.6327526,0.2989828,131.546,1.55282,-1.41816,-120.25826,559204.372,195162.655,86.256
1315208382.655,pano_000000_000157,51.6327651,0.299022,131.48,1.60227,-1.39531,-120.26026,559207.045,195164.135,86.19
1315208382.78,pano_000000_000158,51.6327775,0.2990609,131.409,1.55053,-1.40291,-120.2494,559209.696,195165.601,86.119
1315208382.905,pano_000000_000159,51.6327899,0.2990999,131.339,1.45995,-1.48644,-120.25794,559212.348,195167.064,86.049
1315208383.03,pano_000000_000160,51.6328024,0.2991389,131.277,1.46815,-1.40849,-120.26758,559215.002,195168.531,85.987
1315208383.155,pano_000000_000161,51.6328148,0.2991779,131.21,1.53455,-1.33245,-120.2684,559217.655,195170.002,85.92
1315208383.28,pano_000000_000162,51.6328273,0.2992168,131.137,1.6013,-1.52845,-120.27708,559220.305,195171.472,85.847
1315208383.405,pano_000000_000163,51.6328398,0.2992558,131.072,1.62708,-1.44781,-120.30254,559222.963,195172.944,85.782
1315208383.53,pano_000000_000164,51.6328522,0.2992949,131.008,1.5476,-1.33624,-120.3248,559225.626,195174.417,85.718
1315208383.655,pano_000000_000165,51.6328647,0.299334,130.933,1.50989,-1.50436,-120.35365,559228.284,195175.889,85.643
1315208383.78,pano_000000_000166,51.6328772,0.299373,130.863,1.54985,-1.60757,-120.38407,559230.943,195177.366,85.573
1315208383.905,pano_000000_000167,51.6328898,0.2994122,130.801,1.46807,-1.41332,-120.40376,559233.609,195178.845,85.511
1315208384.03,pano_000000_000168,51.6329023,0.2994513,130.735,1.41507,-1.52312,-120.44735,559236.275,195180.325,85.445
1315208384.155,pano_000000_000169,51.6329149,0.2994905,130.669,1.5337,-1.70637,-120.48873,559238.942,195181.815,85.38
1315208384.28,pano_000000_000170,51.6329277,0.2995298,130.606,1.90327,-1.38254,-120.51456,559241.615,195183.321,85.316
1315208384.405,pano_000000_000171,51.6329405,0.299569,130.527,2.18713,-1.54244,-120.52077,559244.285,195184.826,85.238
1315208384.53,pano_000000_000172,51.6329532,0.2996085,130.458,2.0928,-1.49536,-120.53601,559246.97,195186.327,85.168
1315208384.655,pano_000000_000173,51.6329659,0.2996481,130.393,1.81657,-1.45563,-120.5594,559249.666,195187.824,85.103
1315208384.78,pano_000000_000174,51.6329786,0.2996876,130.324,1.76737,-1.60003,-120.55943,559252.36,195189.327,85.034
