image_id,file_name,start_point,end_point,overgrown_start,overgrown_end
1,front_pano_000000_002220.jpg,"(14, 1783)","(619, 1345)",False,False
2,front_pano_000000_002221.jpg,"(1, 1747)","(607, 1337)",False,False
3,front_pano_000000_002222.jpg,"(7, 1804)","(598, 1369)",False,False
4,front_pano_000000_002223.jpg,"(13, 1756)","(449, 1452)",False,False
5,front_pano_000000_002224.jpg,"(3, 1825)","(609, 1368)",False,False
6,front_pano_000000_002225.jpg,"(6, 1826)","(628, 1359)",False,False
7,front_pano_000000_002226.jpg,"(36, 1823)","(614, 1377)",False,False
8,front_pano_000000_002227.jpg,"(2, 1858)","(620, 1374)",False,False
9,front_pano_000000_002228.jpg,"(25, 1854)","(616, 1383)",False,False
10,front_pano_000000_002229.jpg,"(402, 1675)","(511, 1566)",False,False
11,front_pano_000000_002230.jpg,"(126, 1989)","(220, 1885)",False,False
12,front_pano_000000_002231.jpg,"(0, 1848)","(417, 1524)",False,False
13,front_pano_000000_002232.jpg,"(168, 1904)","(269, 1803)",False,False
14,front_pano_000000_002233.jpg,"(366, 1678)","(477, 1567)",False,False
15,front_pano_000000_002234.jpg,"(114, 1901)","(205, 1800)",False,False
16,front_pano_000000_002235.jpg,"(307, 1682)","(420, 1569)",False,False
17,front_pano_000000_002236.jpg,"(27, 1974)","(476, 1561)",False,False
18,front_pano_000000_002237.jpg,"(3, 1368)","(225, 1299)",False,False
19,front_pano_000000_002238.jpg,"(342, 1649)","(442, 1559)",False,False
20,front_pano_000000_002239.jpg,"(311, 1422)","(425, 1398)",False,False
21,front_pano_000024_000046.jpg,"(64, 1730)","(982, 1067)",False,True
22,front_pano_000024_000047.jpg,"(42, 1743)","(670, 1228)",False,True
23,front_pano_000024_000048.jpg,"(1176, 1217)","(1285, 1315)",False,False
24,front_pano_000024_000049.jpg,"(1708, 1306)","(1813, 1345)",False,False
25,front_pano_000024_000050.jpg,"(1331, 1175)","(1438, 1218)",False,False
26,front_pano_000024_000051.jpg,"(70, 1750)","(415, 1499)",False,False
27,front_pano_000024_000052.jpg,"(1690, 1316)","(1795, 1356)",False,False
28,front_pano_000024_000053.jpg,"(11, 1799)","(166, 1686)",False,False
29,front_pano_000024_000054.jpg,"(1174, 1216)","(1293, 1327)",False,False
30,front_pano_000024_000055.jpg,"(1659, 1286)","(1830, 1349)",False,False
31,front_pano_000024_000056.jpg,"(27, 1783)","(1165, 1114)",False,False
32,front_pano_000024_000057.jpg,"(1179, 1209)","(1279, 1302)",False,False
33,front_pano_000024_000058.jpg,"(934, 1173)","(934, 1173)",True,True
34,front_pano_000024_000059.jpg,"(13, 1797)","(779, 1219)",False,True
35,front_pano_000024_000060.jpg,"(1170, 1214)","(1273, 1311)",False,False
36,front_pano_000024_000061.jpg,"(33, 1778)","(519, 1416)",False,False
37,front_pano_000024_000062.jpg,"(8, 1792)","(783, 1227)",False,False
38,front_pano_000024_000063.jpg,"(1181, 1214)","(1291, 1320)",False,False
39,front_pano_000024_000064.jpg,"(10, 1797)","(200, 1655)",False,False
40,front_pano_000024_000065.jpg,"(26, 1783)","(899, 1107)",False,True
41,front_pano_000024_000066.jpg,"(4, 1813)","(416, 1499)",False,False
42,front_pano_000024_000067.jpg,"(16, 1812)","(930, 1077)",False,True
43,front_pano_000024_000068.jpg,"(10, 1797)","(944, 1072)",False,True
44,front_pano_000024_000069.jpg,"(29, 1779)","(967, 1070)",False,True
45,front_pano_000024_000070.jpg,"(12, 1796)","(203, 1663)",False,False
46,front_pano_000024_000071.jpg,"(43, 1779)","(439, 1493)",False,False
47,front_pano_000024_000072.jpg,"(1559, 1552)","(1686, 1671)",False,False
48,front_pano_000024_000073.jpg,"(48, 1495)","(346, 1359)",True,True
49,front_pano_000024_000074.jpg,"(734, 1370)","(1093, 1093)",False,False
50,front_pano_000024_000075.jpg,"(590, 1496)","(965, 1077)",False,True
51,front_pano_000024_000076.jpg,"(23, 1795)","(185, 1671)",False,False
52,front_pano_000024_000077.jpg,"(7, 1811)","(1091, 1094)",False,False
53,front_pano_000024_000078.jpg,"(1241, 1271)","(1350, 1372)",False,False
54,front_pano_000024_000079.jpg,"(24, 1820)","(944, 1071)",False,False
55,front_pano_000024_000080.jpg,"(13, 1814)","(705, 1282)",False,False
56,front_pano_000024_000081.jpg,"(4, 1812)","(968, 1072)",False,False
57,front_pano_000024_000082.jpg,"(131, 1717)","(696, 1292)",False,False
58,front_pano_000024_000083.jpg,"(1028, 1079)","(1028, 1079)",False,False
59,front_pano_000024_000084.jpg,"(53, 1777)","(204, 1667)",False,False
60,front_pano_000024_000085.jpg,"(16, 1805)","(1180, 1118)",False,False
61,front_pano_000024_000086.jpg,"(36, 1789)","(791, 1220)",False,False
62,front_pano_000024_000087.jpg,"(6, 1803)","(912, 1102)",False,False
63,front_pano_000024_000088.jpg,"(6, 1820)","(665, 1247)",False,False
64,front_pano_000024_000089.jpg,"(5, 1842)","(967, 1071)",False,False
65,front_pano_000024_000090.jpg,"(48, 1778)","(934, 1075)",False,False
66,front_pano_000024_000091.jpg,"(4, 1842)","(1115, 1102)",False,False
67,front_pano_000024_000092.jpg,"(16, 1803)","(948, 1094)",False,False
68,front_pano_000024_000093.jpg,"(5, 1810)","(433, 1493)",False,False
69,front_pano_000030_000462.jpg,"(19, 1797)","(556, 1404)",False,False
70,front_pano_000030_000463.jpg,"(16, 1835)","(955, 1132)",False,False
71,front_pano_000030_000464.jpg,"(131, 1720)","(399, 1527)",False,False
72,front_pano_000030_000465.jpg,"(33, 1775)","(430, 1503)",False,False
73,front_pano_000030_000466.jpg,"(14, 1785)","(913, 1078)",False,True
74,front_pano_000030_000467.jpg,"(1693, 1375)","(1816, 1404)",False,False
75,front_pano_000030_000468.jpg,"(80, 1732)","(141, 1698)",True,True
76,front_pano_000030_000469.jpg,"(41, 1764)","(928, 1078)",True,True
77,front_pano_000030_000470.jpg,"(48, 1762)","(922, 1075)",True,True
78,front_pano_000030_000471.jpg,"(43, 1761)","(704, 1234)",False,True
79,front_pano_000030_000472.jpg,"(13, 1798)","(688, 1232)",False,True
80,front_pano_000030_000473.jpg,"(6, 1791)","(179, 1701)",True,True
81,front_pano_000030_000474.jpg,"(101, 1709)","(109, 1709)",False,False
82,front_pano_000030_000475.jpg,"(1177, 1161)","(1283, 1206)",False,False
83,front_pano_000030_000476.jpg,"(33, 1759)","(927, 1085)",False,True
84,front_pano_000030_000477.jpg,"(20, 1784)","(442, 1463)",False,False
85,front_pano_000030_000478.jpg,"(14, 1762)","(45, 1746)",False,False
86,front_pano_000030_000479.jpg,"(1441, 1288)","(1544, 1343)",False,False
87,front_pano_000030_000480.jpg,"(14, 1753)","(684, 1251)",False,False
88,front_pano_000030_000481.jpg,"(1371, 1243)","(1477, 1302)",False,False
89,front_pano_000030_000482.jpg,"(1415, 1266)","(1522, 1328)",False,False
90,front_pano_000030_000483.jpg,"(1576, 1351)","(1740, 1442)",False,False
91,front_pano_000030_000484.jpg,"(14, 1718)","(910, 1092)",False,True
