Image,Graffiti,Vandalism,Fading,Deformation,Dirt,Rusting,Collapse,Other
front_pano_000000_002226_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000000_002227_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000000_002232_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000000_002233_crop_0_crop.jpg,No,No,Yes,No,Yes,Yes,,No
front_pano_000020_002389_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000020_002397_crop_0_crop.jpg,No,No,Yes,No,,No,,No
front_pano_000020_002401_crop_0_crop.jpg,,,,,,,,
front_pano_000020_002543_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000020_002553_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000020_002554_crop_0_crop.jpg,No,No,No,No,Yes,No,,No
front_pano_000020_002556_crop_0_crop.jpg,No,No,No,No,Yes,No,,No
front_pano_000020_002558_crop_0_crop.jpg,No,Yes,Yes,No,No,No,,No
front_pano_000020_002560_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000020_002647_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000020_002670_crop_0_crop.jpg,Yes,No,Yes,No,Yes,Yes,,No
front_pano_000020_002790_crop_0_crop.jpg,No,No,Yes,No,Yes,Yes,,No
front_pano_000020_002859_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000020_003106_crop_0_crop.jpg,No,Yes,Yes,Yes,Yes,No,,No
front_pano_000020_003109_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000020_003352_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000020_003357_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000020_003360_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000020_003361_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000020_003365_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000023_000608_crop_0_crop.jpg,Yes,No,Yes,No,Yes,No,,No
front_pano_000023_000609_crop_0_crop.jpg,,,,,,,,
front_pano_000023_000784_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000023_000785_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000023_000792_crop_0_crop.jpg,No,Yes,Yes,Yes,Yes,No,,No
front_pano_000023_000794_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000023_000823_crop_0_crop.jpg,No,Yes,Yes,Yes,Yes,No,,No
front_pano_000023_000940_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000023_000941_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000023_000948_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000023_000956_crop_0_crop.jpg,No,Yes,No,No,Yes,No,,No
front_pano_000023_000996_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000023_001045_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000023_001046_crop_0_crop.jpg,No,Yes,Yes,No,Yes,No,,No
front_pano_000023_001047_crop_0_crop.jpg,No,No,Yes,No,Yes,Yes,,No
front_pano_000023_001066_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000023_001067_crop_0_crop.jpg,No,Yes,Yes,No,Yes,No,,No
front_pano_000023_001069_crop_0_crop.jpg,Yes,Yes,Yes,No,Yes,No,,No
front_pano_000023_001088_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000023_001187_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000024_000009_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000024_000054_crop.jpg,No,No,No,No,No,No,,No
front_pano_000024_000078_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000024_000083_crop.jpg,No,No,No,No,No,No,,No
front_pano_000024_000092_crop.jpg,No,No,No,No,No,No,,No
front_pano_000024_000257_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000024_000260_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000024_000508_crop_0_crop.jpg,,,,,,,,
front_pano_000024_000510_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000024_000514_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000024_000515_crop_0_crop.jpg,No,Yes,No,No,No,No,,No
front_pano_000025_000894_crop_0_crop.jpg,No,No,Yes,No,No,No,,No
front_pano_000025_000900_crop_0_crop.jpg,Yes,Yes,No,No,,No,,No
front_pano_000025_000901_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000025_001147_crop_0_crop.jpg,No,No,No,No,No,No,,No
front_pano_000025_001149_crop_0_crop.jpg,No,No,Yes,Yes,Yes,Yes,,No
front_pano_000025_001152_crop_0_crop.jpg,Yes,Yes,,No,,No,,No
front_pano_000025_001153_crop_0_crop.jpg,No,No,Yes,No,Yes,No,,No
front_pano_000025_001154_crop_0_crop.jpg,Yes,Yes,No,No,No,No,,No
